campaign_id,campaign_type,target_segment,region,product_category,season,budget,start_date,end_date,duration_days,impressions,clicks,ctr,conversions,conversion_rate,estimated_revenue
c58c22bd-312b-459e-9e2c-8587a818663b,Social Media,Seniors,North,Beauty,Spring,60589.97943609065,2023-04-13,2023-05-19,36,942809,15790,0.01674831388641715,1576,0.09982184633384707,491238.60356950643
895ed0cb-63a3-4aab-a808-cafea4333770,Influencer,Parents,East,Electronics,Holiday,10527.825509844517,2023-12-15,2023-12-31,16,182910,19044,0.10411829240824103,428,0.022486412010409983,156889.28539299464
1eb4eaa9-16d8-4109-859f-e962b79c38e3,Social Media,Students,East,Fashion,Summer,17065.888160824885,2023-09-28,2023-11-12,45,280934,41610,0.14811654714294975,1132,0.02721929524214111,52920.37472571491
aaa41b8e-29b1-4487-a7e3-772b2957f107,TV,Young Adults,East,Beauty,Winter,89313.22609867105,2023-04-17,2023-05-21,34,481136,66229,0.13765149582617361,1589,0.023996227960782004,212930.10123841307
83205f91-cd17-44f5-82d9-fc53513df273,TV,Seniors,South,Fashion,Spring,17009.109018216168,2023-03-13,2023-05-07,55,613271,67718,0.1104214508602799,4267,0.06301541027493675,668409.6319438246
760803c5-cc69-489f-b78d-8d42c161c008,Email,Young Adults,North,Books,Holiday,73612.32365894546,2023-07-08,2023-08-19,42,605042,14969,0.024741000155832304,331,0.02217709650106181,272187.3264736651
df272ef7-053e-42d9-ba83-db56d318a0b6,Search Engine,Professionals,West,Beauty,Spring,92803.43476981473,2023-01-21,2023-02-09,19,263878,11484,0.043521613076055184,792,0.0690406938014082,311285.5832005305
3783ecd0-dd67-4e68-a139-ee9119642a10,Email,Seniors,North,Beauty,Spring,34361.524387155805,2023-04-13,2023-05-21,38,773019,27951,0.03615886272346018,2301,0.08233966457777969,290684.4108685427
feb52eb0-6825-4abe-9554-ef2f71042017,TV,Students,East,Books,Holiday,43344.229335356285,2023-05-02,2023-06-13,42,254525,15211,0.05976462963579034,744,0.048951363178617445,-168229.08862397954
35525bbd-8a8f-4404-b2cc-cbc9271b9bf3,TV,Parents,North,Beauty,Fall,61202.926526024465,2023-08-03,2023-09-15,43,563609,24219,0.042972411890814965,1464,0.06046165737005178,84786.65638425067
86b2d50f-aaf7-4d6a-8914-32e5d0663e4b,Email,Parents,West,Electronics,Fall,89353.80726747263,2023-11-27,2023-12-29,32,902744,39920,0.044221522436037046,3678,0.09214498749621618,267433.8600235177
4d27cb6d-7b7e-48ca-a4bb-c56001939685,Influencer,Professionals,South,Home Decor,Winter,94771.50285343782,2023-03-29,2023-04-26,28,887868,85539,0.09634219095255678,5240,0.06126093258197512,879930.2183676797
a05173d7-471d-4037-a1d8-fb587724001e,Social Media,Parents,North,Fashion,Fall,76560.69233001412,2023-04-10,2023-04-20,10,914001,49921,0.054618371834593685,1436,0.02877449968313807,312931.5055224428
edd9daa4-fe3f-4db3-a289-7a96aa1132d2,Influencer,Parents,North,Books,Winter,17795.778476922464,2023-12-26,2024-02-01,37,552029,57854,0.10480280270614621,2365,0.04088744185990257,372827.15971035697
db2e2bb9-6ee3-442b-9657-c0a2107e8c99,Influencer,Professionals,South,Home Decor,Winter,70223.87399813658,2023-06-01,2023-06-25,24,741075,105754,0.14270455228046527,6100,0.05768612230055217,1018187.7932987264
de973871-db1f-4be2-9822-1326494a6ebc,Influencer,Students,South,Beauty,Holiday,46927.33496853959,2023-05-11,2023-06-24,44,714773,71039,0.09938690832585345,1700,0.023940791694062644,352829.672040392
e69e9a86-fd23-4a5a-a816-248c7d9a9e47,Influencer,Seniors,East,Electronics,Spring,52363.089954195544,2023-05-30,2023-06-29,30,801346,92340,0.11523193480945196,6013,0.06512678518211824,1186945.968735273
92224e9f-f855-49a2-91c9-1c3c61652791,Social Media,Seniors,East,Beauty,Summer,14423.355131065933,2023-11-05,2023-12-04,29,464699,53543,0.1152212581395973,5350,0.09993214826956232,670723.6170605
134c28a5-d1d2-4122-94a6-df0bfcfef0e2,Search Engine,Professionals,South,Books,Summer,27195.59254117224,2023-09-15,2023-10-13,28,808537,45519,0.056298390375903534,3128,0.0687281468446868,221174.3872763497
9dc20f05-e934-40b3-87bb-7b1206f65a6b,Email,Young Adults,West,Beauty,Fall,81146.2246780283,2023-12-10,2023-12-18,8,502521,6077,0.012094119243080969,264,0.04351700296129971,-274745.34551114927
519dafeb-0f15-498f-be4b-43c7fb022ee6,Influencer,Professionals,East,Electronics,Holiday,50856.29497430738,2023-10-21,2023-11-27,37,132646,2348,0.01770671481919002,93,0.03985718425129563,127303.24791784672
eef88501-4e4e-4907-a185-c92602551c2a,Influencer,Professionals,West,Beauty,Summer,37149.6017468034,2023-07-11,2023-07-28,17,176126,8716,0.04948843512383818,817,0.09384429903465477,226001.62730978406
7479fc5f-f30b-4fec-9364-fe028756ca38,Email,Professionals,South,Beauty,Spring,44561.716656846234,2023-10-04,2023-11-07,34,614116,65425,0.10653604571206371,5785,0.08843628615207903,887369.0472017624
9d490ef0-19b6-4667-8807-0977ee69c982,Email,Professionals,North,Beauty,Winter,86895.95619931121,2023-06-10,2023-08-01,52,742210,101635,0.13693563941076095,5337,0.052512275817889066,671646.8745041175
d32ec7ef-2b9d-4efb-8928-a42b0d7e4c57,Search Engine,Parents,South,Beauty,Winter,77409.91156644611,2023-11-10,2023-12-18,38,355217,51233,0.14423175670670446,2141,0.04180731080502558,265883.57019038114
55b79e57-a778-4bf9-95a3-8c20d6bf5d2d,TV,Parents,South,Electronics,Holiday,34508.38574629745,2023-01-22,2023-02-02,11,926862,12622,0.013618812937610282,933,0.07394178552368073,439749.6307566417
bfe09f11-029c-417a-ab02-25a729bc78da,Search Engine,Students,Online,Fashion,Fall,20575.1656191136,2023-09-10,2023-10-24,44,484382,71985,0.14861221438858796,2757,0.038305222799885456,462489.5315764288
c7633415-e3c6-4b75-bd5e-9611a1a09663,TV,Professionals,South,Home Decor,Spring,32679.839947966455,2023-08-24,2023-09-09,16,692947,38215,0.05514961056993713,792,0.020746290902728642,132809.71556793907
c87eebb8-0561-470a-835a-c29456e612ce,Social Media,Seniors,East,Books,Fall,92868.08059492604,2023-12-11,2024-01-26,46,739629,94682,0.12801387195291614,3589,0.03791369910713738,886747.7053006638
3a5ea2c2-62a7-40f6-bd7e-33012a68d93b,Search Engine,Young Adults,North,Fashion,Fall,62342.99540647798,2023-02-18,2023-04-11,52,628446,22147,0.03524136449754925,1087,0.04908663839054818,72257.8384561539
bf08566a-8423-4eae-a862-e8eb0862e020,Social Media,Parents,West,Electronics,Holiday,58013.218787030455,2023-02-28,2023-03-30,30,174236,3276,0.018805756064960287,108,0.032987023838443735,-5657.775398730017
541f377e-f71b-4886-ac0f-d56baf895bf1,Email,Seniors,Online,Books,Winter,63675.423972321536,2023-06-19,2023-07-30,41,176067,11086,0.06296975936877625,327,0.02951323532539507,286694.2382340159
5060abf8-36e7-4103-b917-48a9e5d7f206,Search Engine,Parents,East,Books,Fall,42942.543917186376,2023-07-07,2023-08-26,50,783098,101998,0.130249554394297,1076,0.010552614639822797,622033.2505805485
29b0a0a5-3144-41ba-9f41-934e41851211,Email,Students,North,Beauty,Fall,82639.63182875614,2023-09-28,2023-11-21,54,109879,4495,0.040915488222894245,300,0.0667758503263642,290874.3607980611
f5f0b842-aa4a-481a-8a1d-812de14c9560,Influencer,Young Adults,West,Home Decor,Spring,57095.76243702248,2023-07-09,2023-08-07,29,236615,7466,0.031554025605257906,487,0.0653004048084507,218628.22476912037
17eb1050-4ee5-45bb-9661-f2b43d6340a0,Email,Parents,North,Home Decor,Winter,20507.311249191596,2023-06-24,2023-07-17,23,736572,101184,0.13737260605302667,2724,0.026922271399365538,874935.8108734044
